Wall time,Step,Value
1497546576.065215,130079,1.134580135345459
1497546590.402604,130147,0.9935138821601868
1497546629.790848,130334,1.1017276048660278
1497546635.743747,130362,1.1859028339385986
1497546795.973731,131122,1.252747893333435
1497546853.800816,131396,1.0845258235931396
1497546973.290955,131962,1.1506280899047852
1497546984.486742,132015,1.1143465042114258
1497547079.620173,132466,1.0655444860458374
1497547283.850019,133434,1.1786816120147705
1497547329.237355,133649,1.1307120323181152
1497547348.035245,133738,1.1344830989837646
1497547397.177603,133971,1.0814204216003418
1497547412.373501,134043,1.13249671459198
1497547478.714169,134353,1.0631474256515503
1497547612.776812,134988,1.1102383136749268
1497547646.892606,135150,1.0911617279052734
1497547652.616519,135177,1.098881483078003
1497547660.200459,135213,1.0972610712051392
1497547660.620102,135215,1.207814335823059
1497547694.165055,135374,1.1629973649978638
1497547735.483407,135570,1.0591617822647095
1497547758.426395,135679,1.1429921388626099
1497547759.475231,135684,1.119519829750061
1497547786.73742,135813,1.1868609189987183
1497547926.592177,136476,1.1299810409545898
1497547930.798722,136496,1.0968841314315796
1497548048.391475,137053,1.0893256664276123
1497548103.41683,137313,1.1148414611816406
1497548148.097334,137525,1.1772139072418213
1497548163.922682,137600,1.1918190717697144
1497548187.626822,137712,1.1222410202026367
1497548319.222029,138335,1.0616240501403809
1497548358.953409,138523,1.1407581567764282
1497548378.450583,138615,1.2296522855758667
1497548422.89825,138826,1.1649311780929565
1497548447.799775,138944,1.1743803024291992
1497548481.603835,139104,1.1087361574172974
1497548549.352666,139425,1.147440791130066
1497548552.507663,139440,1.1538528203964233
1497548553.361222,139444,1.0102695226669312
1497548656.18414,139927,1.2474900484085083
1497548696.966023,140120,1.1571885347366333
1497548729.563659,140274,1.083761215209961
1497548840.601245,140800,1.2011542320251465
1497548842.295896,140808,1.133530855178833
1497548860.471942,140894,1.048161506652832
1497548944.817755,141293,1.101243495941162
1497549030.635102,141699,1.1403119564056396
1497549136.848289,142202,1.0854915380477905
1497549138.976064,142212,1.29232919216156
1497549169.671419,142357,1.0972354412078857
1497549206.453834,142531,1.1306384801864624
1497549308.522157,143014,1.1112638711929321
1497549439.74546,143635,1.0978111028671265
1497549473.925151,143797,1.1278499364852905
1497549666.908531,144710,1.1287670135498047
1497549694.590706,144841,1.0613864660263062
1497549740.489845,145055,1.1313745975494385
1497549768.076765,145186,1.2767475843429565
1497549805.065466,145361,0.9528170824050903
1497549865.716577,145648,1.0025298595428467
1497549925.831334,145932,1.1583367586135864
1497549987.256422,146223,1.068318486213684
1497550087.11601,146696,1.0629608631134033
1497550123.817044,146870,1.1130399703979492
1497550332.174761,147856,1.1046898365020752
1497550409.6306,148223,1.0319112539291382
1497550529.602492,148791,1.07801353931427
1497550755.588507,149861,1.0573654174804688
1497551048.770339,151244,1.1452629566192627
1497551050.669084,151253,1.1407115459442139
1497551077.47896,151380,1.1023496389389038
1497551122.859428,151595,1.0146688222885132
1497551362.263943,152729,1.0833489894866943
1497551439.062959,153092,1.1695778369903564
1497551440.340879,153098,1.163637638092041
1497551481.627364,153293,1.0745792388916016
1497551487.508578,153321,1.0456397533416748
1497551518.836143,153469,1.0511658191680908
1497551546.305945,153599,1.2166502475738525
1497551553.919104,153635,1.0115907192230225
1497551572.269403,153722,1.229609489440918
1497551648.891349,154085,1.2133097648620605
1497551746.255184,154546,1.0914844274520874
1497551780.442002,154708,1.138000726699829
1497551783.179793,154721,1.0442078113555908
1497551785.066354,154730,1.1743696928024292
1497551979.776698,155648,0.9766587615013123
1497552216.010295,156766,1.084626317024231
1497552316.059104,157239,1.160946011543274
1497552320.540045,157260,1.1009138822555542
1497552355.445507,157425,1.099234700202942
1497552395.587651,157615,1.0332664251327515
1497552425.416706,157756,1.063767671585083
1497552443.154836,157840,1.055166244506836
1497552465.097718,157944,1.1076724529266357
1497552508.585645,158150,1.1245603561401367
1497552593.578594,158552,1.1823123693466187
1497552771.028903,159391,1.050960898399353
1497552835.536449,159696,1.1528608798980713
1497552892.133506,159964,1.068521499633789
1497552947.978231,160228,1.1110461950302124
1497553239.065082,161601,1.056050419807434
1497553239.90492,161605,0.9654433131217957
1497553321.643225,161992,1.0814402103424072
1497553339.625081,162077,1.0396345853805542
1497553344.90494,162102,1.0953532457351685
1497553356.50276,162157,1.0371942520141602
1497553370.900847,162225,1.075522780418396
1497553381.068201,162273,1.0202326774597168
1497553522.403159,162941,1.000922679901123
1497553526.417114,162960,1.0580108165740967
1497553535.089506,163001,1.0015966892242432
1497553730.09542,163924,1.012913703918457
1497553803.412071,164271,0.9964538216590881
1497553828.003879,164387,1.1169496774673462
1497553870.256762,164587,1.0549553632736206
1497553915.250752,164800,0.9542194604873657
1497553938.257236,164909,1.1610298156738281
1497553956.489836,164995,1.0878939628601074
1497553979.972666,165106,1.1150884628295898
1497554029.714233,165341,1.0656301975250244
1497554107.232048,165707,1.1019692420959473
1497554226.653011,166271,1.073962926864624
1497554443.789838,167295,1.2061129808425903
1497554470.227585,167420,1.0469552278518677
1497554588.142625,167978,1.0394858121871948
1497554702.061807,168517,0.8629273772239685
1497554748.588697,168737,0.9475197792053223
1497554787.463803,168921,1.042414665222168
1497554863.947599,169283,0.9918734431266785
1497554951.779638,169699,1.1044220924377441
1497554987.914117,169870,0.9800027012825012
1497555085.184271,170330,1.1001620292663574
1497555086.041164,170334,0.9958829283714294
1497555114.30906,170468,0.9716813564300537
1497555282.198387,171262,1.1350589990615845
1497555338.449156,171528,1.0907522439956665
1497555388.4731,171761,1.0858564376831055
1497555418.49237,171903,1.15947425365448
1497555420.190654,171911,1.0684857368469238
1497555677.56609,173128,1.0921491384506226
1497555684.579329,173161,1.1059579849243164
1497555708.873308,173276,1.0530425310134888
1497555770.799526,173568,0.9549686908721924
1497555838.531033,173888,1.118064045906067
1497555840.221734,173896,0.9062179327011108
1497555854.608852,173964,1.1020073890686035
1497555858.6178,173983,1.0417742729187012
1497555938.253445,174360,1.0494801998138428
1497556081.987023,175039,1.0754810571670532
1497556089.392733,175074,1.0141385793685913
1497556090.025593,175077,1.1516945362091064
1497556115.968414,175200,0.9990461468696594
1497556136.705533,175298,1.026414394378662
1497556144.314286,175334,1.0571218729019165
1497556231.871199,175748,0.9727407693862915
1497556242.62071,175799,1.0401502847671509
1497556283.846746,175994,1.0711673498153687
1497556347.060658,176293,1.002706527709961
1497556362.961385,176368,1.0152950286865234
1497556376.099122,176430,1.07602059841156
1497556452.514741,176791,1.0446604490280151
1497556507.513536,177051,1.070022702217102
1497556538.311417,177193,0.9952704906463623
1497556626.598391,177610,0.9861782193183899
1497556783.285728,178351,1.1130281686782837
1497556796.19933,178412,1.0901392698287964
1497556895.336433,178881,1.0997432470321655
1497557018.092024,179461,1.0125353336334229
1497557041.095696,179570,1.025735855102539
1497557176.571476,180211,1.1051160097122192
1497557197.693587,180311,1.0445988178253174
1497557215.087736,180393,1.0211281776428223
1497557236.433877,180494,0.9904381036758423
1497557256.717432,180590,1.0583142042160034
1497557265.154184,180630,0.9287946224212646
1497557274.04479,180672,1.0733394622802734
1497557350.191656,181032,1.0143550634384155
1497557363.936605,181097,1.0249526500701904
1497557370.698944,181129,0.845936119556427
1497557384.862324,181196,1.0077179670333862
1497557469.879545,181597,1.0644562244415283
1497557499.593164,181737,0.9613367319107056
1497557536.987481,181914,1.0077192783355713
1497557602.236856,182222,1.0814958810806274
1497557652.28034,182455,1.0844998359680176
1497557681.531654,182593,1.0964829921722412
1497557697.000599,182666,0.9755895733833313
1497557703.328545,182696,1.088595986366272
1497557727.449042,182810,0.9486299157142639
1497557776.803606,183043,1.0323787927627563
1497557820.878335,183251,1.0335297584533691
1497557952.913077,183875,0.9654809236526489
1497557995.848504,184078,1.0231865644454956
1497558040.285496,184288,1.0472265481948853
1497558080.723151,184479,0.9675568342208862
1497558168.623113,184895,0.93958979845047
1497558197.581275,185032,1.113696575164795
1497558200.79843,185047,1.0044499635696411
1497558202.063929,185053,1.0047335624694824
1497558214.55511,185112,0.9990407228469849
1497558279.05478,185416,1.0079964399337769
1497558293.17935,185483,1.0234522819519043
1497558339.15881,185700,1.0765528678894043
1497558346.954001,185737,1.05287504196167
1497558479.539775,186363,1.0400410890579224
1497558497.816921,186449,0.9449719786643982
1497558561.980996,186752,0.9220207929611206
1497558623.023147,187041,0.9661524891853333
1497558631.066558,187079,1.0944416522979736
1497558649.677392,187167,0.9949964284896851
1497558660.067306,187216,1.023113489151001
1497558666.433137,187246,1.041550874710083
1497558822.993677,187982,0.9785502552986145
1497558906.336456,188376,0.9406464695930481
1497558929.376899,188485,1.0427272319793701
1497559020.562631,188916,1.083857774734497
1497559100.291487,189293,1.0192151069641113
1497559171.725821,189631,1.0515193939208984
1497559246.137564,189983,1.074981689453125
1497559246.97711,189987,1.1623411178588867
1497559293.97701,190209,0.9880185127258301
1497559450.175671,190947,1.0224465131759644
1497559454.64616,190968,1.0364863872528076
1497559471.32998,191047,0.9837644696235657
1497559545.972406,191400,0.9710302352905273
